n_neighbors,min_dist,valid_best_loss,valid_best_auc,train_best_auc,best_epoch
0,10,0.29531047745269595,0.26974088587172923,0.4411375865892866,12
0.1,10,0.2954304195569437,0.26512504523206437,0.4689889810577682,14
0.2,10,0.29526746306590756,0.2739809985486903,0.42577851382809984,10
0.3,10,0.2953622742884751,0.26974378561999973,0.43039686250438147,11
0.4,10,0.2954039391505945,0.2608213170063248,0.43375461990181685,12
0.5,10,0.2951186540312285,0.2683487815294926,0.4298071833118668,11
0.6,10,0.2959034008630061,0.275811498699089,0.4639145593356832,14
0.7,10,0.29535453097847447,0.27300981471741126,0.4732902373954463,13
0.8,10,0.2954653405985034,0.26758661504493875,0.4597413426628988,14
0.9,10,0.295584973275935,0.26793401217158264,0.4241581335294814,11
0,20,0.29518554091597826,0.2744667343553203,0.4456151711822492,13
0.1,20,0.29558441903154364,0.26600392843555687,0.4471465842983121,13
0.2,20,0.2953414105783493,0.2655282884386285,0.38946067584587707,9
0.3,20,0.2952301550198137,0.27366729194908535,0.4137031420944153,10
0.4,20,0.2953894799447823,0.27447726182214477,0.46490888607085645,14
0.5,20,0.29550793563974176,0.26549102645543454,0.46302711084791837,14
0.6,20,0.29550273365467894,0.2611714325034378,0.41837368338733033,11
0.7,20,0.2955682792382489,0.27094517717437716,0.4452879429620223,13
0.8,20,0.29508025888940115,0.2671897039384874,0.46611967964872614,13
0.9,20,0.2953013589349343,0.27042569477791234,0.4209438437622322,11
