n_neighbors,min_dist,valid_best_loss,valid_best_auc,train_best_auc,best_epoch
0,10,0.9244329632778105,0.7898938615159385,0.8121161835109798,9
0.1,10,0.892032529084291,0.8238341237136164,0.8528469914991639,9
0.2,10,1.1067356274154256,0.5,0.5,9
0.3,10,0.9411978997422668,0.8132825505647019,0.8500232393719354,9
0.4,10,0.9379664326844875,0.8147142929045363,0.8459694550684601,9
0.5,10,0.9079438522510818,0.810722419152764,0.8301243508628183,8
0.6,10,0.9220159377815044,0.8138822640575452,0.8460847696135846,9
0.7,10,0.8969609498122919,0.824538236062976,0.8595948828939368,9
0.8,10,0.9251012381068309,0.8057621880147567,0.8332300925260747,9
0.9,10,0.9373003775646683,0.7957453112899784,0.817847206315146,9
0,20,0.9040045506527965,0.8232481184175908,0.8557168657242655,9
0.1,20,0.9377598005017515,0.8228481877886269,0.8557143479690728,9
0.2,20,0.9210513240998202,0.8071449783406683,0.8289068049761086,9
0.3,20,0.9041987335739352,0.8090041984649506,0.8352168335970114,9
0.4,20,0.8982657185372385,0.8224406040678576,0.8474536339643344,8
0.5,20,0.9150633873483942,0.8033542948448367,0.81813036317555,8
0.6,20,0.8911981730288757,0.8198096748895538,0.846077637298573,8
0.7,20,0.905850507976873,0.8216552110087254,0.8503578465878567,9
