n_neighbors,min_dist,valid_best_loss,valid_best_auc,train_best_auc,best_epoch
0,10,0.8970660866048629,0.11137026182997144,0.11509211014363127,9
0.1,10,0.9090627134928321,0.11447008284788997,0.11265864329561742,7
0.2,10,1.1067330543289278,0.5106189367816472,0.5107875860865416,9
0.3,10,0.8969643046379394,0.10726933726249413,0.11154214368196635,8
0.4,10,0.8958358595605511,0.10519637818287447,0.10308855831719843,8
0.5,10,0.9017892450919702,0.10981209921545833,0.11460871871219265,9
0.6,10,0.9326534376354447,0.10704737024596,0.111921560759243,8
0.7,10,0.9169881518355917,0.11172124007557055,0.11096974887944627,9
0.8,10,0.9107349676559203,0.10100114970508546,0.10568280517041559,8
0.9,10,0.8904565156283296,0.1099182267740231,0.11443627841872384,9
0,20,0.9145425605101021,0.11474515642093139,0.11631306538173428,9
0.1,20,0.9040389260409387,0.10083174497423811,0.09630034083999811,9
0.2,20,0.8886117818334165,0.11505235164144245,0.1095247059682162,8
0.3,20,0.9006035578835322,0.11121757573622133,0.11208115850803022,9
0.4,20,0.8967277000132954,0.10838516772607754,0.10642719664972464,9
0.5,20,0.8825732955631987,0.11957724399814423,0.11979901898213152,9
0.6,20,1.1067922798684,0.5106189367816472,0.5107875860865416,9
0.7,20,0.962803662208451,0.11092034103697297,0.10922180337355844,9
0.8,20,0.9610421564629478,0.10633968150994536,0.10834969182238313,9
0.9,20,0.87344086732448,0.11007313063832876,0.11251730473853722,9
